pais_id,pais,ano,quantidade,valor,produto
1,Africa do Sul,1970,0,0,espumante
2,Alemanha,1970,0,0,espumante
3,Argentina,1970,4980,3836,espumante
4,Austrália,1970,0,0,espumante
5,Áustria,1970,0,0,espumante
6,Bermudas,1970,0,0,espumante
7,Bahamas,1970,0,0,espumante
8,Bélgica,1970,0,0,espumante
9,Brasil,1970,0,0,espumante
10,Bulgária,1970,0,0,espumante
11,Canada,1970,0,0,espumante
12,Chile,1970,0,0,espumante
13,Croácia,1970,0,0,espumante
14,Cuba,1970,0,0,espumante
15,Emirados Árabes Unidos,1970,0,0,espumante
16,Eslovênia,1970,0,0,espumante
17,Espanha,1970,12981,8568,espumante
18,Estados Unidos,1970,0,0,espumante
19,França,1970,18458,45798,espumante
20,Geórgia,1970,0,0,espumante
21,Granada,1970,0,0,espumante
22,Grécia,1970,0,0,espumante
23,Hong Kong,1970,0,0,espumante
24,Hungria,1970,0,0,espumante
25,Indonésia,1970,0,0,espumante
26,Irlanda,1970,0,0,espumante
27,Israel,1970,0,0,espumante
28,Itália,1970,0,0,espumante
29,Japão,1970,0,0,espumante
30,Luxemburgo,1970,0,0,espumante
31,México,1970,0,0,espumante
32,Moldávia,1970,0,0,espumante
33,Nova Zelândia,1970,0,0,espumante
34,Países Baixos,1970,0,0,espumante
35,Panamá,1970,0,0,espumante
36,Peru,1970,0,0,espumante
37,Portugal,1970,1603,2240,espumante
38,Reino Unido,1970,0,0,espumante
39,Romênia,1970,0,0,espumante
40,Suíça,1970,0,0,espumante
41,Tunísia,1970,0,0,espumante
42,Ucrânia,1970,0,0,espumante
43,Uruguai,1970,0,0,espumante
44,Não consta na tabela,1970,0,0,espumante
45,Não declarados,1970,0,0,espumante
46,Outros,1970,291,1859,espumante
1,Africa do Sul,1971,0,0,espumante
2,Alemanha,1971,25,36,espumante
3,Argentina,1971,8811,7543,espumante
4,Austrália,1971,0,0,espumante
5,Áustria,1971,0,0,espumante
6,Bermudas,1971,0,0,espumante
7,Bahamas,1971,0,0,espumante
8,Bélgica,1971,0,0,espumante
9,Brasil,1971,0,0,espumante
10,Bulgária,1971,0,0,espumante
11,Canada,1971,0,0,espumante
12,Chile,1971,0,0,espumante
13,Croácia,1971,0,0,espumante
14,Cuba,1971,0,0,espumante
15,Emirados Árabes Unidos,1971,0,0,espumante
16,Eslovênia,1971,0,0,espumante
17,Espanha,1971,7865,5230,espumante
18,Estados Unidos,1971,0,0,espumante
19,França,1971,26523,72645,espumante
20,Geórgia,1971,0,0,espumante
21,Granada,1971,0,0,espumante
22,Grécia,1971,0,0,espumante
23,Hong Kong,1971,0,0,espumante
24,Hungria,1971,0,0,espumante
25,Indonésia,1971,0,0,espumante
26,Irlanda,1971,0,0,espumante
27,Israel,1971,360,349,espumante
28,Itália,1971,554,485,espumante
29,Japão,1971,0,0,espumante
30,Luxemburgo,1971,0,0,espumante
31,México,1971,0,0,espumante
32,Moldávia,1971,0,0,espumante
33,Nova Zelândia,1971,0,0,espumante
34,Países Baixos,1971,0,0,espumante
35,Panamá,1971,0,0,espumante
36,Peru,1971,0,0,espumante
37,Portugal,1971,2054,3090,espumante
38,Reino Unido,1971,0,0,espumante
39,Romênia,1971,0,0,espumante
40,Suíça,1971,0,0,espumante
41,Tunísia,1971,0,0,espumante
42,Ucrânia,1971,0,0,espumante
43,Uruguai,1971,0,0,espumante
44,Não consta na tabela,1971,0,0,espumante
45,Não declarados,1971,0,0,espumante
46,Outros,1971,3772,2358,espumante
1,Africa do Sul,1972,0,0,espumante
2,Alemanha,1972,2864,2479,espumante
3,Argentina,1972,35301,26909,espumante
4,Austrália,1972,0,0,espumante
5,Áustria,1972,0,0,espumante
6,Bermudas,1972,0,0,espumante
7,Bahamas,1972,0,0,espumante
8,Bélgica,1972,0,0,espumante
9,Brasil,1972,0,0,espumante
10,Bulgária,1972,0,0,espumante
11,Canada,1972,0,0,espumante
12,Chile,1972,201,192,espumante
13,Croácia,1972,0,0,espumante
14,Cuba,1972,0,0,espumante
15,Emirados Árabes Unidos,1972,0,0,espumante
16,Eslovênia,1972,0,0,espumante
17,Espanha,1972,27461,20026,espumante
18,Estados Unidos,1972,0,0,espumante
19,França,1972,35899,97186,espumante
20,Geórgia,1972,0,0,espumante
21,Granada,1972,0,0,espumante
22,Grécia,1972,0,0,espumante
23,Hong Kong,1972,0,0,espumante
24,Hungria,1972,0,0,espumante
25,Indonésia,1972,0,0,espumante
26,Irlanda,1972,0,0,espumante
27,Israel,1972,0,0,espumante
28,Itália,1972,5054,3328,espumante
29,Japão,1972,0,0,espumante
30,Luxemburgo,1972,0,0,espumante
31,México,1972,0,0,espumante
32,Moldávia,1972,0,0,espumante
33,Nova Zelândia,1972,0,0,espumante
34,Países Baixos,1972,0,0,espumante
35,Panamá,1972,0,0,espumante
36,Peru,1972,0,0,espumante
37,Portugal,1972,12768,18479,espumante
38,Reino Unido,1972,0,0,espumante
39,Romênia,1972,0,0,espumante
40,Suíça,1972,0,0,espumante
41,Tunísia,1972,0,0,espumante
42,Ucrânia,1972,0,0,espumante
43,Uruguai,1972,0,0,espumante
44,Não consta na tabela,1972,0,0,espumante
45,Não declarados,1972,0,0,espumante
46,Outros,1972,576,454,espumante
1,Africa do Sul,1973,0,0,espumante
2,Alemanha,1973,2900,3130,espumante
3,Argentina,1973,39208,20230,espumante
4,Austrália,1973,0,0,espumante
5,Áustria,1973,0,0,espumante
6,Bermudas,1973,0,0,espumante
7,Bahamas,1973,0,0,espumante
8,Bélgica,1973,0,0,espumante
9,Brasil,1973,0,0,espumante
10,Bulgária,1973,0,0,espumante
11,Canada,1973,0,0,espumante
12,Chile,1973,328,133,espumante
13,Croácia,1973,0,0,espumante
14,Cuba,1973,0,0,espumante
15,Emirados Árabes Unidos,1973,0,0,espumante
16,Eslovênia,1973,0,0,espumante
17,Espanha,1973,40172,28895,espumante
18,Estados Unidos,1973,0,0,espumante
19,França,1973,49453,186096,espumante
20,Geórgia,1973,0,0,espumante
21,Granada,1973,0,0,espumante
22,Grécia,1973,0,0,espumante
23,Hong Kong,1973,0,0,espumante
24,Hungria,1973,0,0,espumante
25,Indonésia,1973,0,0,espumante
26,Irlanda,1973,0,0,espumante
27,Israel,1973,27,36,espumante
28,Itália,1973,5854,5395,espumante
29,Japão,1973,0,0,espumante
30,Luxemburgo,1973,0,0,espumante
31,México,1973,0,0,espumante
32,Moldávia,1973,0,0,espumante
33,Nova Zelândia,1973,0,0,espumante
34,Países Baixos,1973,0,0,espumante
35,Panamá,1973,0,0,espumante
36,Peru,1973,0,0,espumante
37,Portugal,1973,30074,39670,espumante
38,Reino Unido,1973,0,0,espumante
39,Romênia,1973,0,0,espumante
40,Suíça,1973,0,0,espumante
41,Tunísia,1973,0,0,espumante
42,Ucrânia,1973,0,0,espumante
43,Uruguai,1973,0,0,espumante
44,Não consta na tabela,1973,0,0,espumante
45,Não declarados,1973,0,0,espumante
46,Outros,1973,24,10054,espumante
1,Africa do Sul,1974,0,0,espumante
2,Alemanha,1974,1667,2128,espumante
3,Argentina,1974,2831,3035,espumante
4,Austrália,1974,0,0,espumante
5,Áustria,1974,0,0,espumante
6,Bermudas,1974,0,0,espumante
7,Bahamas,1974,0,0,espumante
8,Bélgica,1974,0,0,espumante
9,Brasil,1974,0,0,espumante
